,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
3069,K7Pb2I11,"[7, 2, 11]","[[1], [2], [-1]]",K7Pb2I11,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3070,K7Pb3I4,"[7, 3, 4]","[[1], [-1], [-1]]",K7Pb3I4,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3071,K7Pb3I7,"[7, 3, 7]","[[1], [-1, 2], [-1]]",K7Pb3I7,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3072,K7Pb3I10,"[7, 3, 10]","[[1], [-1, 2], [-1]]",K7Pb3I10,[],[],"[1.0, 0.3756666666666667, 0.906]",0.340354,0.831120944,FALSE,FALSE
3073,K7Pb4I3,"[7, 4, 3]","[[1], [-1], [-1]]",K7Pb4I3,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3074,K7Pb4I6,"[7, 4, 6]","[[1], [-1, 2], [-1]]",K7(Pb2I3)2,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
3075,K7Pb4I9,"[7, 4, 9]","[[1], [-1, 2], [-1]]",K7Pb4I9,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3076,K7Pb5I2,"[7, 5, 2]","[[1], [-1], [-1]]",K7Pb5I2,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3077,K7Pb5I5,"[7, 5, 5]","[[1], [-1, 2], [-1]]",K7(PbI)5,[],[],"[1.0, 0.2688, 0.906]",0.2435328,0.594690265,FALSE,FALSE
3078,K7Pb5I8,"[7, 5, 8]","[[1], [-1, 2], [-1]]",K7Pb5I8,[],[],"[1.0, 0.3146, 0.906]",0.2850276,0.696017699,FALSE,FALSE
3079,K7Pb6I1,"[7, 6, 1]","[[1], [-1], [-1]]",K7Pb6I,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3080,K7Pb6I4,"[7, 6, 4]","[[1], [-1, 2], [-1]]",K7(Pb3I2)2,[],[],"[1.0, 0.26116666666666666, 0.906]",0.236617,0.57780236,FALSE,FALSE
3081,K7Pb6I7,"[7, 6, 7]","[[1], [-1, 2], [-1]]",K7Pb6I7,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3082,K7Pb7I3,"[7, 7, 3]","[[1], [-1, 2], [-1]]",K7Pb7I3,[],[],"[1.0, 0.2557142857142857, 0.906]",0.231677143,0.56573957,FALSE,FALSE
3083,K7Pb7I6,"[7, 7, 6]","[[1], [-1, 2], [-1]]",K7Pb7I6,[],[],"[1.0, 0.2884285714285714, 0.906]",0.261316286,0.638116308,FALSE,FALSE
3084,K7Pb8I2,"[7, 8, 2]","[[1], [-1, 2], [-1]]",K7(Pb4I)2,[],[],"[1.0, 0.251625, 0.906]",0.22797225,0.556692478,FALSE,FALSE
3085,K7Pb8I5,"[7, 8, 5]","[[1], [-1, 2], [-1]]",K7Pb8I5,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
